OSEBuildingID,DataYear,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,OHE_Campus,OHE_Multifamily,OHE_NonResidential,OHE_SPS-District K-12,OHE_Autres_Neighborhood,OHE_BALLARD,OHE_CENTRAL,OHE_DELRIDGE NEIGHBORHOODS,OHE_DOWNTOWN,OHE_EAST,OHE_GREATER DUWAMISH,OHE_LAKE UNION,OHE_MAGNOLIA / QUEEN ANNE,OHE_NORTH,OHE_NORTHEAST,OHE_NORTHWEST,OHE_SOUTHEAST,OHE_SOUTHWEST,OHE_Autres_LargestPropertyUseType,OHE_Distribution Center,OHE_Hotel,OHE_K-12 School,OHE_Multifamily Housing,OHE_Non-Refrigerated Warehouse,OHE_Office,OHE_Other,OHE_Retail Store,OHE_Worship Facility,OHE_Autres_ComplianceStatus,OHE_Compliant,OHE_Not Compliant,OHE_Account Requires Verification,OHE_Autres_ComplianceIssue,OHE_No Issue,OHE_Portfolio Manager Account Not Shared,TotalGHGEmissions,SiteEnergyUse(kBtu)
27962.0,2019.0,4.0,32817.0,0.0,95.0,26.6,878563.0,74.6,28785.0,878563.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5.4,881503.0
27966.0,2019.0,4.0,23175.0,0.0,87.0,30.6,708559.0,64.7,19177.0,432066.0,276493.0,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17.3,713479.0
27969.0,2019.0,6.0,62256.0,0.0,78.6,36.1,1773587.0,83.3,45300.0,1145137.0,0.0,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,23.8,3862988.0
27970.0,2019.0,7.0,43645.0,0.0,68.0,44.0,1773587.0,83.3,41615.0,1145137.0,688880.0,0.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,52.1,3244672.0
27977.0,2019.0,5.0,46895.0,0.0,97.4,36.1,125646.2,83.3,49511.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.56,133531.6
27981.0,2019.0,3.0,37824.0,0.0,68.0,40.8,1871731.0,95.2,45822.0,1368732.0,502999.0,0.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,35.2,1890804.0
27982.0,2019.0,3.0,25111.0,0.0,79.0,39.0,861905.0,78.6,14256.0,475208.0,386697.0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,23.5,875696.0
27984.0,2019.0,6.0,18614.0,0.0,96.0,30.4,948762.0,85.1,31234.0,948762.0,0.0,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5.8,956596.0
27985.0,2019.0,3.0,25338.0,0.0,92.0,27.9,706836.0,78.1,25338.0,706836.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.4,714235.0
27996.0,2019.0,4.0,43645.0,0.0,85.0,48.7,1773587.0,96.2,41615.0,1145137.0,338864.0,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,266.1,9462770.0
28001.0,2019.0,4.0,22984.0,0.0,62.0,28.2,647228.0,78.8,22984.0,647228.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.0,643502.0
28002.0,2019.0,4.0,21464.0,0.0,90.0,22.8,600401.0,63.8,26342.0,600401.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.7,600494.0
28006.0,2019.0,3.0,24329.0,0.0,66.0,36.1,2262252.0,83.3,24329.0,298022.0,338864.0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,106.2,2309397.0
28007.0,2019.0,4.0,29588.0,0.0,62.6,45.0,1350925.0,93.1,21000.0,785514.0,565411.0,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,34.9,1364274.0
28008.0,2019.0,6.0,43645.0,0.0,77.0,42.4,2652043.0,94.2,62486.0,1771952.0,338864.0,0.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,57.7,2677389.0
28009.0,2019.0,6.0,37843.0,0.0,97.0,40.3,1524380.0,65.0,37843.0,490400.0,338864.0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,57.9,1547945.0
28014.0,2019.0,3.0,35787.0,0.0,84.0,24.3,870066.0,68.1,35787.0,870066.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5.4,866774.0
